#{"t_start": 1555826226.702278, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
-430,7997,23797.672356
-447,7997,23855.254753
-434,7997,23912.912014
-29,881,23918.118682
-340,7997,23965.251404
-420,7997,24022.948766
-271,5756,24067.577093
-221,7997,24114.667106
-377,7997,24172.437678
-331,7997,24230.500479
-440,7997,24277.5755
-400,7997,24336.01146
-369,7997,24394.101161
-216,7997,24441.185965
-302,7997,24499.11282
-408,7997,24546.195334
-412,7997,24604.092083
-431,7997,24662.482742
-338,7997,24709.659349
-357,7997,24768.294863
-175,8055,24826.753766
-408,7997,24884.950027
-332,7997,24932.060185
-82,1658,24941.813893
-253,7997,24999.960506
-321,7997,25058.201888
-125,8055,25105.724739
-293,7997,25163.907212
-357,7997,25222.101869
-425,7997,25269.309175
-411,7997,25327.582346
-404,7997,25385.863207
-367,7997,25432.966145
-181,3720,25466.070823
-410,7997,25513.190419
-301,7997,25571.658629
-100,1908,25582.913309
-447,7997,25641.245764
-318,6799,25681.348208
-339,7997,25739.848912
-195,4867,25768.580019
-328,7997,25827.031698
-399,7997,25885.49526
-390,7997,25932.677765
-253,7997,25991.160486
-245,7997,26049.61552
-357,7997,26096.805542
-17,649,26100.655813
-376,7997,26159.249426
-327,7339,26213.928222
-438,7997,26261.077552
-374,7997,26319.631258
-213,8055,26378.681237
-100,8055,26426.245753
-389,7997,26485.967686
-311,7997,26544.679354
-98,5674,26578.162181
-97,5411,26622.261026
-308,7997,26669.471023
-321,7997,26728.187968
9,3349,26747.939294
-362,7997,26806.688685
79,2546,26821.714869
-202,7997,26880.723804
-188,8055,26940.017119
-128,3060,26958.072399
-211,8055,27005.6058
-161,5321,27048.674446
-381,7997,27107.762851
-106,3822,27130.308441
-296,7997,27189.279489
-192,8055,27236.864358
-39,5066,27278.556351
-347,7997,27325.74482
-358,7997,27384.89933
-266,5962,27420.03517
-439,7997,27479.028573
-244,5704,27524.668133
-435,7997,27571.80892
-115,2801,27600.492462
-109,3483,27620.925489
-286,7997,27668.111516
-279,7997,27727.344987
-421,7997,27786.63284
-399,7997,27833.765974
-325,7997,27894.184823
-398,7997,27953.493137
-454,7997,28000.615287
-332,7997,28060.087133
-397,7997,28120.282918
-212,7997,28167.499235
-287,7997,28226.934968
-371,7997,28286.435753
-356,7997,28333.627594
-319,7997,28393.141355
-166,8055,28453.077885
-262,7997,28500.351515
-208,7997,28559.92082
-61,7997,28619.468385
-183,3995,28643.031404
-259,7997,28702.63889
-389,7997,28749.83673
-280,7280,28805.274868
-448,7997,28864.928152
-42,3758,28887.058722
-233,4733,28914.977991
-34,1896,28938.677036
-312,6452,28976.698643
-379,7997,29036.485811
-402,7997,29083.563007
-417,7997,29143.194674
-408,7997,29202.945139
-403,7997,29250.049972
-372,7997,29309.817473
-399,7997,29369.74025
-400,7997,29416.841751
-423,7997,29476.74119
-447,7997,29536.577496
-320,7997,29583.751407
-443,7997,29643.741601
-455,7997,29703.653796
-65,3501,29724.289654
-213,7997,29784.300636
-206,7997,29831.510897
-173,4968,29873.755255
-268,7997,29934.042483
-215,7997,29981.218354
-318,7997,30041.351459
-274,7647,30086.541924
-215,7997,30146.76991
-314,7997,30206.989119
-221,5786,30241.134888
-409,7997,30301.466502
-347,7997,30361.633446
-398,7997,30408.811382
-105,7997,30469.07874
-79,3088,30487.312286
-21,8055,30548.105644
-314,7997,30608.62339
-319,7997,30655.846107
-58,2033,30667.898448
-295,7997,30728.2365
-257,7997,30788.653848
-87,3932,30811.830964
-171,3806,30834.299654
-441,7997,30894.801364
-356,7997,30955.518368
-240,7997,31002.716966
-132,8055,31063.673262
-304,7997,31124.328723
-355,7997,31171.545927
-111,2512,31199.899937
-48,1694,31209.89873
-357,7997,31257.081359
-440,7997,31317.668896
0,990,31323.560569
-352,7997,31384.286803
-185,8055,31431.883925
68,697,31449.61585
-322,7997,31496.835526
-438,7997,31557.54099
-410,7997,31618.222975
-332,7997,31665.460587
-5,843,31670.445471
-167,3758,31707.004651
-423,7997,31754.21087
-145,3415,31788.055786
-259,5838,31822.487172
-370,7997,31883.334321
-352,7997,31930.553924
-59,7997,31991.651514
-268,7997,32052.662092
-228,7997,32099.883718
-94,7997,32160.940015
-293,7997,32222.192596
-446,7997,32269.348574
-199,4548,32309.995159
-408,7997,32357.150294
-135,3351,32390.821463
-319,7997,32438.002935
-454,7997,32499.656861
-347,7997,32560.735523
-296,7997,32607.902876
-272,6456,32659.945351
-74,1708,32670.003502
-319,7997,32731.855309
-383,7997,32779.021626
-224,4410,32819.12322
-408,7997,32866.265343
-445,7997,32928.187365
-98,5948,32977.356431
-70,8055,33024.970137
-373,7997,33086.42534
-361,7997,33147.704984
-399,7997,33194.850053
-447,7997,33256.143288
-127,2871,33273.092411
-127,3942,33296.366012
-292,7997,33357.895616
-375,7997,33419.384219
-431,7997,33466.503225
-440,7997,33527.917373
-8,787,33532.579942
-350,7997,33594.077586
-149,3660,33615.6802
194,813,33620.476007
-229,7997,33682.037952
-420,7997,33743.674489
-310,7997,33790.875826
-80,3156,33809.498153
-455,7997,33871.057943
-427,7997,33932.617067
-308,7997,33979.735894
72,1062,34000.475284
-420,7997,34047.58858
-376,7997,34109.303195
-420,7997,34171.052656
-413,7997,34218.153161
-277,6229,34269.416213
-421,7997,34316.493482
-421,7997,34378.22709
-278,7997,34440.038454
-156,7997,34487.203565
-256,7997,34549.13958
-293,7997,34611.436526
-252,7997,34658.639174
-92,2793,34689.864631
-242,7997,34737.09511
-254,6757,34791.808196
-249,6476,34830.038632
-371,7997,34892.087638
-371,7997,34954.147602
-119,3565,34975.180168
-211,8055,35037.713857
-177,4951,35066.895963
-406,7997,35129.037734
-417,7997,35176.201638
-287,7997,35239.344578
-146,7997,35301.575074
-42,8055,35349.189858
-108,7997,35411.514741
-143,8055,35474.289726
-153,3581,35495.396709
-147,7997,35557.829613
-408,7997,35605.019308
-365,7997,35667.335302
-362,7555,35727.024506
-292,7997,35774.187358
-404,7997,35836.506593
-136,3808,35858.948395
-455,7997,35921.256925
-383,7997,35983.58652
-284,7997,36030.706348
-455,7997,36093.083156
-420,7997,36155.370723
-455,7997,36202.455057
-360,7997,36264.886809
-364,7997,36327.402275
-396,7997,36374.53165
-130,4757,36417.963008
-116,2597,36433.317479
-260,7997,36495.994992
25,916,36501.420221
-363,7997,36548.600214
-45,1509,36572.961333
-402,7997,36620.177466
-388,7997,36682.674594
-135,2936,36700.007186
-418,7997,36762.701049
-363,7966,36809.71732
163,992,36831.030606
-435,7997,36878.24512
-144,4598,36921.073307
-440,7997,36968.278462
-403,7997,37031.123441
-344,7997,37093.922278
-41,3116,37112.286609
-423,7997,37175.025505
-242,7997,37222.173875
-328,7997,37284.987485
-293,7997,37347.793792
-44,4843,37376.355851
-352,7997,37439.509048
-337,7997,37486.644968
-292,7997,37549.839395
-105,2376,37563.854229
-34,1949,37575.36366
-166,3295,37610.699165
-431,7997,37657.866251
-11,1762,37668.275981
-232,7997,37731.423751
-226,4687,37759.095964
-131,3411,37795.160516
-55,7997,37842.358193
-454,7997,37905.607759
-430,7997,37968.841502
-174,8055,38016.343575
-344,7997,38079.770887
-418,7997,38142.981421
-227,7997,38190.135288
-276,7997,38253.331503
-393,7997,38316.662856
-73,2911,38333.848
-396,7997,38397.356551
17,703,38401.499714
-433,7997,38448.709705
-413,7997,38512.152565
-388,7997,38576.726864
-454,7997,38623.879762
-440,7997,38688.020485
-411,7997,38751.478392
-414,7997,38798.625307
-20,1367,38806.691354
-422,7997,38870.165105
-346,7997,38933.797858
-318,6683,38973.18768
-436,7997,39036.916935
-401,7997,39100.585417
40,1166,39107.486398
95,8055,39155.085698
-296,7997,39218.730006
-201,7997,39282.435789
-72,3220,39301.440438
-214,7997,39365.125768
-378,7997,39412.319124
-271,7997,39476.033772
-366,7997,39539.860534
-430,7997,39587.043634
-384,7997,39650.919629
-121,3311,39670.439394
-392,7997,39734.293467
-417,7997,39798.236493
103,1760,39808.593006
-70,1479,39817.345325
-256,7997,39881.244059
-187,4091,39905.399297
-336,7997,39969.251473
-213,7997,40016.447787
-277,7997,40080.344338
-388,7997,40145.553535
-272,5854,40180.090879
-202,7997,40244.100405
-258,7997,40291.299268
-160,7997,40355.446929
-455,7997,40419.625558
-330,7997,40466.833644
-310,6277,40520.928193
-247,7997,40585.237314
-73,8055,40632.768223
-201,8055,40697.557878
-77,7997,40762.028819
49,7997,40809.288536
-176,3648,40848.005629
-54,2037,40860.021508
-312,7997,40907.213305
-214,7997,40971.441312
87,1495,40980.287841
-70,7997,41044.615304
-215,7997,41109.124905
-66,1838,41119.997219
-140,8055,41167.569342
21,7997,41231.967677
-263,7997,41296.38769
-208,7997,41343.564797
-226,7997,41408.05947
-125,8055,41473.058024
-272,7997,41520.244478
-426,7997,41584.87872
128,1495,41593.719815
-45,1090,41600.172307
76,8055,41665.302512
-221,7997,41731.594013
-148,8055,41779.17132
-379,7997,41843.869043
-286,7997,41908.639315
-281,7997,41955.803095
-354,7997,42020.459448
-357,7997,42085.306225
-276,7997,42132.49771
-220,7997,42197.226845
-282,7997,42262.023294
-85,8055,42309.593985
-282,7997,42374.459571
-200,8055,42439.745483
-426,7997,42486.888972
-399,7997,42551.907128
-431,7997,42616.867654
-430,7997,42663.948205
-394,7997,42729.093027
-409,7997,42794.388374
94,462,42797.117925
-368,7997,42844.269534
-403,7997,42909.130999
-295,6753,42966.859885
-441,7997,43013.963039
-151,3275,43051.321266
-214,7997,43098.405641
-373,7997,43163.756351
-280,5666,43197.19505
-335,6779,43255.124012
-13,942,43260.67976
-227,7997,43325.840153
-64,2588,43341.130398
-110,5178,43371.74392
-247,7335,43433.224722
219,234,43434.620322
8,733,43438.96146
-129,8055,43504.79705
-274,7997,43551.998114
-28,1156,43558.834249
174,8056,43624.637099
193,7997,43690.327873
45,749,43694.799341
102,699,43698.963535
18,845,43703.966702
131,571,43707.351885
102,1172,43714.326695
-152,7997,43780.003243
115,1170,43786.931835
-175,8055,43852.849303
-314,7997,43899.953782
-236,7997,43965.396606
-265,7997,44032.36097
-359,7997,44079.407052
-377,7997,44144.838539
197,643,44148.647925
-329,7997,44214.417205
-352,7997,44261.547093
-430,7997,44327.568547
-417,7997,44393.16689
-222,7997,44440.36416
-240,7997,44506.018425
-220,7997,44571.711934
-391,7997,44618.830632
-450,7997,44684.496377
